19.04.2023                              Salida dinámica de lista                                                                                   1


 Cta.mayor				*
 Sociedad				GV01


		 St	Asignación		Nº doc.	Fecha doc.	Fe.contab.	CT	Importe en ML	ML	Texto	   ImpteML2	ML2
			CCAJ-CB13/84/23		113065541	14.04.2023	14.04.2023	40	      383,08	BOB		     55,04	USD
			GRANJA SOFIA		113065206	14.04.2023	14.04.2023	40	    1.706,57	BOB	LP. COMPENSACION GRANJA SOFIA CBBA-DICRUZ	    245,20	USD
			GRANJA SOFIA		113065206	14.04.2023	14.04.2023	50	-1.706,57	BOB	LP. COMPENSACION GRANJA SOFIA CBBA-DICRUZ	-245,20	USD
			DISCRUZ		113065207	14.04.2023	14.04.2023	40	  176.222,46	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/174/20	 25.319,34	USD
			DISCRUZ		113065207	14.04.2023	14.04.2023	50	-176.222,46	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/174/20	-25.319,34	USD
			DISCRUZ		113065208	14.04.2023	14.04.2023	40	   33.035,70	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/173/20	  4.746,50	USD
			DISCRUZ		113065208	14.04.2023	14.04.2023	50	-33.035,70	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/173/20	-4.746,50	USD
			DISCRUZ		113065215	14.04.2023	14.04.2023	50	        0,00	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/173/20	-0,01	USD
			CCAJ-SC39/173/20		113064818	14.04.2023	14.04.2023	40	  618.026,82	BOB	LP.TRASPASO DISCRUZ A BISA 0049 13.04	 88.796,96	USD
			DISCRUZ		113065216	14.04.2023	14.04.2023	40	   65.969,50	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/172/20	  9.478,38	USD
			DISCRUZ		113065216	14.04.2023	14.04.2023	50	-65.969,50	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/172/20	-9.478,38	USD
			CCAJ-SC39/172/20		113064819	14.04.2023	14.04.2023	40	   65.969,50	BOB	LP.TRASPASO DISCRUZ A BISA 0049 12.04	  9.478,38	USD
			DISCRUZ		113065217	14.04.2023	14.04.2023	50	-11,01	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC65/82/23	-1,58	USD
			CCAJ-SC65/82/23		113064785	14.04.2023	14.04.2023	40	    1.246,40	BOB	LP.TRASP.CAJ.MN.AG. MUTUALISTA A BISA 0049 12.04	    179,08	USD
			DISCRUZ		113065307	14.04.2023	14.04.2023	40	      618,00	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/174/20	     88,79	USD
			DISCRUZ		113065307	14.04.2023	14.04.2023	50	-618,00	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/174/20	-88,79	USD
					113065198	14.04.2023	14.04.2023	40	   36.000,00	BOB	SC TRASPASO DE FONDOS	  5.172,41	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    6.268,20	BOB		    900,60	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    3.522,40	BOB		    506,09	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	   21.638,40	BOB		  3.108,97	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      566,20	BOB		     81,35	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	   34.225,20	BOB		  4.917,41	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    5.334,22	BOB		    766,41	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      551,25	BOB		     79,20	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      220,50	BOB		     31,68	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    7.911,12	BOB		  1.136,66	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      390,00	BOB		     56,03	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    1.543,20	BOB		    221,72	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    9.000,00	BOB		  1.293,10	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      415,32	BOB		     59,67	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      618,00	BOB		     88,79	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      754,80	BOB		    108,45	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      280,50	BOB		     40,30	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      642,39	BOB		     92,30	USD
			CCAJ-SC57/82/23		113064786	14.04.2023	14.04.2023	40	      262,30	BOB	LP.TRASP.CAJ.MN.AG. MONTERO A BISA 0049 12.04	     37,69	USD
			CCAJ-SC65/84/23		113065569	14.04.2023	14.04.2023	40	      441,06	BOB		     63,37	USD
			CCAJ-SC59/85/23		113065565	14.04.2023	14.04.2023	40	      162,16	BOB		     23,30	USD
			ORURO		113065219	14.04.2023	14.04.2023	40	   11.196,80	BOB	LP. COMPENSACION ORURO CCAJ-OR51/80/23	  1.608,74	USD
			ORURO		113065219	14.04.2023	14.04.2023	50	-11.196,80	BOB	LP. COMPENSACION ORURO CCAJ-OR51/80/23	-1.608,74	USD
			CCAJ-OR51/80/23		113064795	14.04.2023	14.04.2023	40	   11.196,80	BOB	LP.TRASP.CAJ.MN.AG. ORURO 1 A BISA 0057 12.04	  1.608,74	USD
			ORURO		113065221	14.04.2023	14.04.2023	40	   71.431,40	BOB	LP. COMPENSACION ORURO CCAJ-OR52/70/202	 10.263,13	USD
			ORURO		113065221	14.04.2023	14.04.2023	50	-71.431,40	BOB	LP. COMPENSACION ORURO CCAJ-OR52/70/202	-10.263,13	USD
			CCAJ-OR52/71/202		113065623	14.04.2023	14.04.2023	40	      321,01	BOB		     46,12	USD
			CCAJ-OR52/71/202		113065623	14.04.2023	14.04.2023	40	   95.198,90	BOB		 13.678,00	USD
			CCAJ-OR52/71/202		113065623	14.04.2023	14.04.2023	40	   40.641,40	BOB		  5.839,28	USD
			SUCRE		113065223	14.04.2023	14.04.2023	40	    2.253,70	BOB	LP. COMPENSACION SUCRE CCAJ-SR54/82/23	    323,81	USD
			SUCRE		113065223	14.04.2023	14.04.2023	50	-2.253,70	BOB	LP. COMPENSACION SUCRE CCAJ-SR54/82/23	-323,81	USD
			CCAJ-SR54/82/23		113064792	14.04.2023	14.04.2023	40	    2.253,70	BOB	LP.TRASP.CAJ.MN.AG. SUCRE 1 A BISA 0065 12.04	    323,81	USD
			SUCRE		113065224	14.04.2023	14.04.2023	40	    3.967,50	BOB	LP. COMPENSACION SUCRE CCAJ-SR24/82/23	    570,04	USD
			SUCRE		113065224	14.04.2023	14.04.2023	50	-3.967,50	BOB	LP. COMPENSACION SUCRE CCAJ-SR24/82/23	-570,04	USD
			CCAJ-SR24/82/23		113064793	14.04.2023	14.04.2023	40	    3.967,50	BOB	LP.TRASP.CAJ.MN.AG. SUCRE 2 A BISA 0065 12.04	    570,04	USD
			SUCRE		113065227	14.04.2023	14.04.2023	40	   73.253,46	BOB	LP. COMPENSACION SUCRE CCAJ-SR27/70/202	 10.524,93	USD
			SUCRE		113065227	14.04.2023	14.04.2023	50	-73.253,46	BOB	LP. COMPENSACION SUCRE CCAJ-SR27/70/202	-10.524,93	USD
			CCAJ-SR27/71/202		113065437	14.04.2023	14.04.2023	40	      195,00	BOB		     28,02	USD
			CCAJ-SR27/71/202		113065437	14.04.2023	14.04.2023	40	      195,00	BOB		     28,02	USD
			CCAJ-SR27/71/202		113065437	14.04.2023	14.04.2023	40	      907,78	BOB		    130,43	USD
			CCAJ-SR27/71/202		113065437	14.04.2023	14.04.2023	40	    2.627,82	BOB		    377,56	USD
			CCAJ-SR27/71/202		113065437	14.04.2023	14.04.2023	40	    2.092,80	BOB		    300,69	USD
			CCAJ-SR27/71/202		113065437	14.04.2023	14.04.2023	40	   12.888,00	BOB		  1.851,72	USD
			CCAJ-SR27/71/202		113065437	14.04.2023	14.04.2023	40	    2.600,00	BOB		    373,56	USD
			CCAJ-SR27/71/202		113065437	14.04.2023	14.04.2023	40	    3.877,38	BOB		    557,09	USD
			CCAJ-SR24/84/23		113065571	14.04.2023	14.04.2023	40	      136,19	BOB		     19,57	USD
			POTOSI		113065228	14.04.2023	14.04.2023	40	    3.525,30	BOB	LP. COMPENSACION POTOSI CCAJ-PT18/82/23	    506,51	USD
			POTOSI		113065228	14.04.2023	14.04.2023	50	-3.525,30	BOB	LP. COMPENSACION POTOSI CCAJ-PT18/82/23	-506,51	USD
			CCAJ-PT18/82/23		113064794	14.04.2023	14.04.2023	40	    3.525,30	BOB	LP.TRASP.CAJ.MN.AG. POTOSI 1 A BISA 0073 12.04	    506,51	USD
			POTOSI		113065229	14.04.2023	14.04.2023	40	    2.220,00	BOB	LP. COMPENSACION POTOSI CCAJ-PT53/71/202	    318,97	USD
			POTOSI		113065229	14.04.2023	14.04.2023	50	-2.220,00	BOB	LP. COMPENSACION POTOSI CCAJ-PT53/71/202	-318,97	USD
			CCAJ-PT53/72/202		113065680	14.04.2023	14.04.2023	40	    2.000,00	BOB		    287,36	USD
			TARIJA		113065230	14.04.2023	14.04.2023	40	    1.051,10	BOB	LP. COMPENSACION TARIJA CCAJ-TA43/84/202	    151,02	USD
			TARIJA		113065230	14.04.2023	14.04.2023	50	-1.051,10	BOB	LP. COMPENSACION TARIJA CCAJ-TA43/84/202	-151,02	USD
			TARIJA		113065231	14.04.2023	14.04.2023	50	-1,62	BOB	LP. COMPENSACION TARIJA CCAJ-TA06/83/23	-0,23	USD
			CCAJ-TA06/85/23		113065517	14.04.2023	14.04.2023	40	       16,00	BOB		      2,30	USD
			TRINIDAD		113065232	14.04.2023	14.04.2023	40	   16.180,85	BOB	LP. COMPENSACION TRINIDAD CCAJ-TR47/84/202	  2.324,83	USD
			TRINIDAD		113065232	14.04.2023	14.04.2023	50	-16.180,85	BOB	LP. COMPENSACION TRINIDAD CCAJ-TR47/84/202	-2.324,83	USD
			TRINIDAD		113065233	14.04.2023	14.04.2023	40	    1.173,40	BOB	LP. COMPENSACION TRINIDAD CCAJ-TR50/82/23	    168,59	USD
			TRINIDAD		113065233	14.04.2023	14.04.2023	50	-1.173,40	BOB	LP. COMPENSACION TRINIDAD CCAJ-TR50/82/23	-168,59	USD
			CCAJ-TR50/82/23		113064796	14.04.2023	14.04.2023	40	    1.173,40	BOB	LP.TRASP.CAJ.MN.AG. TRINIDAD 1 A BISA 0090 12.04	    168,59	USD
			RIBERALTA		113065234	14.04.2023	14.04.2023	40	   42.182,90	BOB	LP. COMPENSACION RIBERALTA CCAJ-RB01/68/202	  6.060,76	USD
			RIBERALTA		113065234	14.04.2023	14.04.2023	50	-42.182,90	BOB	LP. COMPENSACION RIBERALTA CCAJ-RB01/68/202	-6.060,76	USD
			CCAJ-RB01/68/202		113064826	14.04.2023	14.04.2023	40	   42.182,90	BOB	RB.DEP. DIRECTO A BANCO CCAJ-RB01/68/202 12.04	  6.060,76	USD
			PANDO		113065235	14.04.2023	14.04.2023	40	    8.949,20	BOB	LP. COMPENSACION PANDO CCAJ-PN62/82/202	  1.285,80	USD
			PANDO		113065235	14.04.2023	14.04.2023	50	-8.949,20	BOB	LP. COMPENSACION PANDO CCAJ-PN62/82/202	-1.285,80	USD
			CCAJ-PN62/82/202		113064828	14.04.2023	14.04.2023	40	    8.949,20	BOB	PN.DEP. DIRECTO A BANCO CCAJ-PN62/82/202 12.04	  1.285,80	USD

	*								4.677.890,50	BOB
